"No.","Time","Source","Destination","Protocol","Length","Info"
"1928","5.115175","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1929","5.115175","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1930","5.115176","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1931","5.115177","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1932","5.115177","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1933","5.115177","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1934","5.115178","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1935","5.115178","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1936","5.115179","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1937","5.115179","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1938","5.115180","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1939","5.115180","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1940","5.115487","192.168.1.2","187.19.145.48","UDP","71","53800  >  443 Len=29"
"1941","5.117911","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1942","5.117913","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1943","5.117916","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1944","5.117917","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1945","5.117917","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1946","5.117919","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1947","5.117920","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1948","5.117921","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1949","5.117922","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1950","5.117923","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1951","5.117924","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1952","5.117925","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1953","5.117925","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1954","5.117926","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1955","5.117928","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1956","5.119020","192.168.1.2","187.19.145.48","UDP","71","53800  >  443 Len=29"
"1957","5.119987","192.168.1.2","187.19.145.48","UDP","71","53800  >  443 Len=29"
"1958","5.121720","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1959","5.121721","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1960","5.121723","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1961","5.121724","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1962","5.121724","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1963","5.121725","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1964","5.121725","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1965","5.121725","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
"1966","5.121726","187.19.145.48","192.168.1.2","UDP","1392","443  >  53800 Len=1350"
