"No.","Time","Source","Destination","Protocol","Length","Info"
"16364","15.987977","192.168.1.2","187.19.145.48","UDP","72","52409  >  443 Len=30"
"16365","15.988744","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16366","15.988745","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16367","15.988746","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16368","15.988746","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16369","15.988747","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16370","15.988747","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16371","15.988747","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16372","15.988748","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16373","15.988748","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16374","15.988748","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16375","15.988748","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16376","15.988881","192.168.1.2","187.19.145.48","UDP","72","52409  >  443 Len=30"
"16377","15.990138","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16378","15.990138","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16379","15.990139","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16380","15.990140","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16381","15.990140","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16382","15.990140","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16383","15.990141","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16384","15.990141","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16385","15.990141","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16386","15.990142","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16387","15.990142","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16388","15.990313","192.168.1.2","187.19.145.48","UDP","72","52409  >  443 Len=30"
"16389","15.990876","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16390","15.990877","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16391","15.990878","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16392","15.990878","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16393","15.990879","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16394","15.990879","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16395","15.990879","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16396","15.990880","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16397","15.990880","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16398","15.990880","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16399","15.990880","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16400","15.991035","192.168.1.2","187.19.145.48","UDP","72","52409  >  443 Len=30"
"16401","15.991792","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16402","15.991792","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16403","15.991794","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16404","15.991794","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16405","15.991795","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16406","15.991795","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16407","15.991796","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16408","15.991796","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16409","15.991797","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16410","15.991797","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16411","15.991798","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16412","15.991980","192.168.1.2","187.19.145.48","UDP","72","52409  >  443 Len=30"
"16413","15.992809","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16414","15.992811","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16415","15.992813","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16416","15.992814","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16417","15.992815","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16418","15.992816","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16419","15.992817","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16420","15.992817","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16421","15.992819","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16422","15.992820","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16423","15.992821","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16424","15.993583","192.168.1.2","187.19.145.48","UDP","72","52409  >  443 Len=30"
"16425","15.993799","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16426","15.993800","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16427","15.993801","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16428","15.993802","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16429","15.993803","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16430","15.993804","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16431","15.993805","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16432","15.993806","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16433","15.993806","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16434","15.993807","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16435","15.993807","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16436","15.994041","192.168.1.2","187.19.145.48","UDP","72","52409  >  443 Len=30"
